Test_ID,User_Story_ID,Test_Title,Test_Type,Priority,Preconditions,Test_Steps,Expected_Results,Data_Inputs,Coverage_Area,Status
CSR611-TC-001,CSR-611-US-001,Identify policies with Rerate $0 premium followed by Change version,Data Quality,High,"SQ1 ODS database accessible, Latest active term policies loaded, Data pattern documented","1. Connect to SQ1 ODS database
2. Query for policies with Rerate version premium = 0
3. Filter for those followed by Change version with premium > 0
4. Extract policy numbers and attributes
5. Document findings","Query returns all matching policies correctly, Policy identifiers are accurate, Effective dates match database records, Premium amounts are correct","Policy Data: SQ1 ODS Feed, Premium = 0 for Rerate, Premium > 0 for Change","Data Identification",Not Started
CSR611-TC-002,CSR-611-US-001,Verify policy attributes in impacted records,Data Quality,High,"Test data from TC-001 available, Report template prepared","1. Extract key attributes from each impacted policy
2. Verify policy number format
3. Verify customer/account information exists
4. Verify effective date matches active term
5. Verify both Rerate and Change version details
6. Document coverage type and state","All required attributes populated correctly, No missing data fields, Data types are correct, Date formats are consistent","Policy Number, Customer ID, Effective Date, Coverage Type, State","Data Validation",Not Started
CSR611-TC-003,CSR-611-US-001,Calculate cumulative premium impact,Data Quality,High,"All impacted policies identified, Premium amounts extracted","1. Sum all Rerate premium amounts (should be 0)
2. Sum all Change premium amounts (actual premiums)
3. Calculate difference = Impact amount
4. Categorize by coverage type
5. Categorize by state","Cumulative impact calculated correctly, Results reconcile with source data, Categorization is accurate, Total count of impacted policies is correct","Premium Data: Rerate=$0, Change=actual amount","Financial Impact",Not Started
CSR611-TC-004,CSR-611-US-001,Verify data privacy and compliance in report,Data Quality,Medium,"Report prepared with all impacted policies, Privacy policy reviewed","1. Review report for any PII data
2. Verify masking/anonymization applied
3. Check GDPR/compliance requirements
4. Verify data retention settings
5. Document audit trail","All PII properly masked, Compliance requirements met, Audit trail complete, Data retention policy followed","Report containing policy data, Privacy policy requirements","Compliance",Not Started
CSR611-TC-005,CSR-611-US-001,Validate data feed source for each policy,Data Quality,Medium,"Impacted policies list prepared, Feed source documentation available","1. For each impacted policy, identify source feed
2. Verify SQ1 ODS feed source
3. Check for any alternate sources
4. Document feed version and load date
5. Flag any non-SQ1 sources","All policies have confirmed SQ1 ODS source, Feed version documented, Load dates recorded, No discrepancies found","Policy Data: Feed Source Field","Data Source Validation",Not Started
CSR611-TC-006,CSR-611-US-002,Validate Rerate-Change sequence in problematic policies,Data Validation,High,"Sample policies with Rerate $0 and Change premium selected, Transaction logs available","1. Pull full version history for sample policy
2. Verify Rerate version exists with premium = 0
3. Confirm Change version follows Rerate
4. Verify Change version has premium > 0
5. Check no other versions between them","Version sequence is as documented, Premium amounts match specifications, No missing versions, Timing/dates are correct","Policy Sample: With Rerate $0 + Change premium","Pattern Validation",Not Started
CSR611-TC-007,CSR-611-US-002,Confirm this is not normal business logic,Data Validation,High,"Sample problematic policies available, Normal policy patterns documented","1. Compare Rerate $0 pattern against normal processing logic
2. Review business rules for Rerate processing
3. Verify $0 premium is not expected in any scenario
4. Document deviation from normal process
5. Confirm with subject matter experts","Pattern confirmed as abnormal, No valid business case found for $0 Rerate premium, SME concurrence obtained","Business Rules Documentation, Normal Policies","Root Cause Analysis",Not Started
CSR611-TC-008,CSR-611-US-002,Investigate system processing errors during Rerate,Data Validation,High,"Error logs available for affected policies, Rating engine logs accessible","1. Identify Rerate processing timestamps
2. Extract system error logs for those times
3. Check rating engine logs
4. Check policy version creation logs
5. Document any errors or warnings found","Error logs retrieved for all affected periods, Correlation found between errors and Rerate $0, Root cause identified, Errors documented","System Logs, Timestamp Data","System Error Investigation",Not Started
CSR611-TC-009,CSR-611-US-002,Check for data feed transmission issues,Data Validation,Medium,"Feed transmission logs available, Network monitoring data accessible","1. Review feed transmission logs for affected dates
2. Check for transmission failures
3. Check for delayed transmissions
4. Verify data integrity checksums
5. Document any anomalies","Transmission logs reviewed completely, Any failures documented with timestamps, Data integrity verified, Feed processing sequence confirmed","Transmission Logs, Feed Data","Feed Processing Validation",Not Started
CSR611-TC-010,CSR-611-US-002,Analyze timing and sequencing issues,Data Validation,Medium,"Policy version timestamps available, Processing sequence data","1. Extract creation timestamps for Rerate and Change
2. Calculate time delta between versions
3. Check policy status at each point
4. Verify sequencing logic
5. Identify any timing anomalies","Time delta documented for all affected policies, Sequencing issues identified if present, Status transitions verified, Anomalies categorized","Timestamp Data, Version Info","Sequencing Analysis",Not Started
